Unternehmen;Link;Ausschlussgrund (E1–E7, adaptiert)
Sherpa.ai;https://www.crunchbase.com/organization/sherpa-assistant;—
FLock.io;https://www.crunchbase.com/organization/flock-io;E2 – FL-Anwendung außerhalb Manufacturing (Healthcare, Finance etc.) ohne explizit diskutierte Übertragbarkeit
Apheris;https://www.crunchbase.com/organization/apheris-ai;E2 – FL-Anwendung außerhalb Manufacturing (Healthcare, Finance etc.) ohne explizit diskutierte Übertragbarkeit
Flower Labs (flower.ai);https://www.crunchbase.com/organization/flower-1de8;—
DebitMyData;https://www.crunchbase.com/organization/debitmydata;E3 – Geringe inhaltliche Substanz/sehr vage, generische Außendarstellung
TensorOpera (FedML);https://www.crunchbase.com/organization/tensoropera;—
Integrate.ai;https://www.crunchbase.com/organization/integrate-ai;E2 – FL-Anwendung außerhalb Manufacturing (Healthcare, Finance etc.) ohne explizit diskutierte Übertragbarkeit
Waiv (Owkin);https://www.crunchbase.com/organization/owkin-2;E2 – FL-Anwendung außerhalb Manufacturing (Healthcare, Finance etc.) ohne explizit diskutierte Übertragbarkeit
CiferAI;https://www.crunchbase.com/organization/ciferai;E2 – FL-Anwendung außerhalb Manufacturing (Healthcare, Finance etc.) ohne explizit diskutierte Übertragbarkeit
OctaiPipe;https://www.crunchbase.com/organization/the-data-analysis-bureau;E2 – FL-Anwendung außerhalb Manufacturing (Healthcare, Finance etc.) ohne explizit diskutierte Übertragbarkeit
TripleBlind;https://www.crunchbase.com/organization/tripleblind;E2 – FL-Anwendung außerhalb Manufacturing (Healthcare, Finance etc.) ohne explizit diskutierte Übertragbarkeit
Consilient;https://www.crunchbase.com/organization/consilient-983b;E2 – FL-Anwendung außerhalb Manufacturing (Healthcare, Finance etc.) ohne explizit diskutierte Übertragbarkeit
Imagia;https://www.crunchbase.com/organization/imagia;E2 – FL-Anwendung außerhalb Manufacturing (Healthcare, Finance etc.) ohne explizit diskutierte Übertragbarkeit
Arista NDR (Awake Security);https://www.crunchbase.com/organization/awake-security;E7 – Kein eigener konkreter (FL-)Use-Case, nur Buzzwords oder Verweis auf andere
Scaleout;https://www.crunchbase.com/organization/scaleout;E2 – FL-Anwendung außerhalb Manufacturing (Healthcare, Finance etc.) ohne explizit diskutierte Übertragbarkeit
TieSet;https://www.crunchbase.com/organization/tieset;E2 – FL-Anwendung außerhalb Manufacturing (Healthcare, Finance etc.) ohne explizit diskutierte Übertragbarkeit
Fantix;https://www.crunchbase.com/organization/fantix;E2 – FL-Anwendung außerhalb Manufacturing (Healthcare, Finance etc.) ohne explizit diskutierte Übertragbarkeit
D-AI;https://www.crunchbase.com/organization/d-ai;E3 – Geringe inhaltliche Substanz/sehr vage, generische Außendarstellung
Insight Technology;https://www.crunchbase.com/organization/insight-technology-b26e;E2 – FL-Anwendung außerhalb Manufacturing (Healthcare, Finance etc.) ohne explizit diskutierte Übertragbarkeit
ReHealth AI;https://www.crunchbase.com/organization/rehealth-ai;E2 – FL-Anwendung außerhalb Manufacturing (Healthcare, Finance etc.) ohne explizit diskutierte Übertragbarkeit
Raras Health;https://www.crunchbase.com/organization/raras-health;E2 – FL-Anwendung außerhalb Manufacturing (Healthcare, Finance etc.) ohne explizit diskutierte Übertragbarkeit
