id,decision,exclusion_criterion,confidence,reasoning
226ZBILB,Exclude,E2,100,"The study focuses on electricity demand forecasting in energy grids, which is outside the manufacturing domain."
23DV84I5,Include,,95,"The abstract discusses an application in industrial environments, which falls under manufacturing."
23HY5X6N,Exclude,E2,100,"The abstract discusses a federated learning framework applied to IoT networks in smart cities, not manufacturing."
23VN6EMY,Exclude,E2,95,"The abstract clearly states the application is in IoT environments for cybersecurity, not manufacturing."
24DNM3JB,Exclude,E2,95,"The paper focuses on cloud security in general, not manufacturing."
24GLW4ND,Exclude,E2,95,"The paper focuses on supply chain disruption detection using deep learning in a digital twin framework, not specifically on federated learning applications in manufacturing."
24V2YD2Y,Exclude,E2,95,"The abstract discusses cybersecurity systems in network streams, which is outside the manufacturing domain."
264GPP7U,Exclude,E5,100,The abstract clearly states it is a systematic review without own contribution.
28RKEIJJ,Exclude,E2,100,The abstract discusses ESG factors in industrial value chains using DGNNs but does not mention federated learning or manufacturing-specific applications of FL.
29J3VEGY,Exclude,E2,100,The abstract clearly discusses federated learning applied in healthcare.
29M56G7W,Include,,98,"The abstract discusses Federated Learning implementation within an IIoT framework for manufacturing processes, fitting the review scope on FL applications in manufacturing."
2A8P6RWQ,Include,,100,The abstract clearly discusses federated learning in a manufacturing context.
2AIMXDPZ,Exclude,E5,100,The abstract clearly states this is a survey without original contribution.
2BLRRD82,Exclude,E5,100,The abstract explicitly states this is a systematic review without original contribution.
2BQ7RUER,Exclude,E5,100,The abstract clearly states that the paper is a systematic literature review without presenting its own contribution.
2CFTQT87,Include,,85,"The abstract discusses federated learning applied to lithography hotspot detection in semiconductor manufacturing, which falls within the scope of manufacturing industries."
2DB3E8G7,Exclude,E2,95,"The abstract discusses noninvasive diabetes monitoring using sweat-based sensors and AI-driven biosensing systems, which is clearly outside the manufacturing domain."
2GAC7ET4,Exclude,E5,90,The abstract clearly states this is a survey paper without own contribution.
2GCYNV6C,Exclude,E2,95,"The application is explicitly stated as being in the domain of software testing, not manufacturing."
2HD3ZH2M,Exclude,E2,100,The paper discusses a healthcare application with no mention of manufacturing.
2HPY7AB9,Exclude,E2,95,The abstract discusses hydropower systems and does not mention manufacturing.
2HQWFCWQ,Include,,85,"The abstract discusses federated learning in industrial Internet-of-Things (IIoT) domains, which falls under manufacturing contexts."
2K222BF2,Exclude,E2,100,"The abstract discusses a swimming training methodology using reinforcement learning and digital twin technology, which is outside the manufacturing domain."
2KH8ADQR,Exclude,E2,100,The abstract discusses cybersecurity in smart devices and does not mention manufacturing.
2KVEST95,Exclude,E2,95,"The abstract discusses AI applications in smart cities related to energy efficiency, air quality, etc., which is outside manufacturing."
2L7F52DC,Exclude,E2,80,The abstract focuses on edge caching using multi-agent reinforcement learning rather than federated learning in manufacturing.
2MA9B8KT,Include,,90,The abstract does not clearly indicate that the application is outside of manufacturing or that it is a literature review without its own contribution.
2MH2XYMV,Exclude,E2,85,"The paper focuses on a novel neural network architecture for human-machine collaboration, which is outside the scope of federated learning applications in manufacturing."
2MSM8GRC,Include,,85,The abstract discusses federated learning but does not specify it is applied outside manufacturing or that models are transferable to manufacturing.
2MTPHRVL,Exclude,E5,90,The abstract explicitly states it is a survey aiming to provide an overview of anomaly detection in EdgeAI.
2NKN9IEA,Exclude,E2,100,"The abstract discusses a deep learning-based intrusion detection framework for IoT environments, which is outside the manufacturing domain."
2NWKUL9L,Exclude,E2,100,"The abstract clearly states the application is in network security for ISPs, not manufacturing."
2PHY5J39,Include,,95,The abstract discusses federated learning applied to smart manufacturing with IIoT data silos.
2T49YMK6,Include,,95,The abstract discusses IoT applications in chip manufacturing but does not provide clear evidence that the FL application is outside of manufacturing or that it is a literature review without own contribution.
2THEEY5F,Include,,85,"The abstract discusses federated learning in a closed-loop supply chain context involving manufacturing, without excluding transferability to other manufacturing scenarios."
2TX8U9DR,Exclude,E2,100,"The abstract discusses federated learning in wireless telecommunications networks, not manufacturing."
2VJLTSZ3,Exclude,E5,90,The abstract describes a literature review or survey without presenting its own novel contribution.
2WRYVG65,Exclude,E2,95,"The abstract discusses 6G mobile networks and AI applications in network operations, which is outside the manufacturing domain."
2X2PAS8V,Include,,100,The abstract does not mention federated learning or applications outside manufacturing.
2X9JMHT4,Exclude,E2,100,"The abstract discusses a CPS application in water treatment facilities, which is outside the manufacturing domain."
2XJ7KU9A,Include,,100,The abstract does not mention federated learning or any application outside manufacturing.
2XJUL2WR,Exclude,E2,95,"The abstract discusses anomaly detection and dropout rate estimation for 6G communication networks, which is outside the manufacturing domain."
2XKF3RWQ,Exclude,E2,95,The abstract discusses IoT applications in industrial IoT but also mentions other domains like smart grid and intelligent transportation system without focusing on manufacturing.
2Y55ZF6B,Include,,100,
32W3PSU3,Exclude,E5,100,The abstract clearly states it is a survey without own contribution.
