item_key,decision,exclusion_criteria_met
23DV84I5,Exclude,E7
29M56G7W,Exclude,E7
2A8P6RWQ,Exclude,E7
2CFTQT87,Exclude,E7
2HQWFCWQ,Exclude,E7
2MSM8GRC,Exclude,E1
2PHY5J39,Exclude,E7
2THEEY5F,Exclude,E7
2Y55ZF6B,Exclude,E6
34Z6ZW3P,Exclude,E7
37H9BF86,Exclude,E1
3GFG46MS,Exclude,E1
3JNBH44M,Exclude,E1
3KAIZA5P,Include,
3KFSY2GU,Exclude,E7
48UIHVFJ,Exclude,E1
4FBSG7NP,Exclude,E2
4GDX64AJ,Exclude,E7
4QGK3K5L,Exclude,E1
4X4PPHD4,Exclude,E1
52GHRF9H,Exclude,E1
5DTBDXBE,Exclude,E1
5EF8ULPT,Exclude,E7
5ER4X4Z8,Exclude,E1
5H4XKF9B,Exclude,E1
5JZJSNWT,Exclude,E1
5K4SAGSI,Exclude,E1
5MMYVF4V,Exclude,E1
5PM58E4D,Include,
5RZDFDQW,Exclude,E1
5SDCXNME,Exclude,E1
68RJ8HHW,Exclude,E1
6M4RWLJS,Exclude,E5
6X4KRE5V,Exclude,E1
6X7TBGXE,Exclude,E1
7EHGZURW,Exclude,E1
7HUMBYEK,Exclude,E1
7I42W4ZX,Exclude,E7
7KYBJ763,Exclude,E6
7WBD45KG,Exclude,E1
7XKKMQ4W,Exclude,E7
88M5GN9Y,Exclude,E1
8KC4HHKR,Exclude,E6
8RGS8JGT,Exclude,E2
98CAPWTD,Exclude,E7
9HRC7YX6,Exclude,E5
9HVH64R8,Exclude,E5
9W6EAN57,Exclude,E1
A2MXP484,Exclude,E6
ACF4DZLW,Exclude,E7
AF2DIAC4,Exclude,E7
AHUQHV3E,Include,
AI7KLQEL,Exclude,E2
AIEZHJKC,Exclude,E7
AMS9N2SN,Exclude,E1
ATCDYK2P,Exclude,E6
B254RASP,Exclude,E2
B5TS35T4,Exclude,E2
BCSQ5G5B,Exclude,E7
BE5PD4YB,Include,
BHJVPDKD,Include,
BMJMWPZD,Exclude,E2
BP7M56JK,Exclude,E7
BWREZ4WI,Include,
BWWTKE45,Exclude,E1
BZK4DUN3,Exclude,E7
C2LBSW33,Exclude,E2
C8ZQU83G,Include,
C9P5FK3L,Exclude,E7
CCWXVTGK,Exclude,E1
CEJQW4KS,Include,
CFFYJTWX,Exclude,E1
CIUBEIXD,Exclude,E1
CNRSWGUL,Exclude,E2
CV3IP956,Exclude,E1
CV74KDA4,Include,
CVRDIMI9,Include,
CXE3SFJA,Include,
CZQ5XQR6,Exclude,E7
DDWX6BYX,Exclude,E7
DFDZS483,Exclude,E1
DMRQ8L7R,Exclude,E1
DPJ9ZFEG,Exclude,E7
DTX8B3RR,Exclude,E5
DVRRKREG,Exclude,E7
E3NTV2BH,Include,
E4KB6KD5,Exclude,E5
ECNJRHQL,Exclude,E7
ETGXEBYM,Exclude,E1
EWSX2FX3,Exclude,E7
F4JTSMSZ,Include,
F6EHSW4S,Exclude,E7
F7IKEK3D,Exclude,E5
F9JCUCK8,Exclude,E2
FD9IS8P3,Exclude,E1
FFHW3ZC8,Exclude,E7
FHZM93VG,Exclude,E1
FIF9H8JX,Include,
FIWX2FFP,Exclude,E1
FK6W54PZ,Include,
FUBK8GZX,Exclude,E7
G828EAUK,Exclude,E7
GAWJVPLC,Exclude,E1
GEXTSJ77,Exclude,E7
GGKH9A6A,Exclude,E7
GMP8J7HZ,Exclude,E1
GPBVRDH8,Exclude,E7
GR5QQKEA,Exclude,E7
GSWJFGTG,Include,
GTQ8F2VZ,Include,
GU5S5NQV,Exclude,E1
H6MFACB5,Exclude,E2
H8X7K546,Exclude,E1
H956N2FH,Include,
HGV4NLIS,Exclude,E1
HLNSZCF2,Exclude,E5
HU3BE2Y3,Exclude,E1
HV5QDV83,Include,
HZ2BMK5N,Exclude,E1
I8NPMHLK,Exclude,E2
ICVQU7TE,Exclude,E7
IDAPDDE9,Exclude,E7
IQ5WQ4HA,Exclude,E7
IQ8TQEZL,Include,
IS9VSID7,Exclude,E1
JMKPAV34,Exclude,E2
JVCX8AMU,Exclude,E7
JYX5HVNE,Include,
K2L6JC8P,Exclude,E1
K4TP4AR3,Exclude,E7
KCSYKKR2,Exclude,E1
L3EWHFA2,Include,
LAES66EL,Include,
LALS26YN,Exclude,E1
LCXHHPMY,Exclude,E1
LD8VWVMS,Exclude,E7
LDN2IEA9,Exclude,E1
LDS5I5JE,Exclude,E1
LDVWU726,Exclude,E1
LEASQ8FC,Include,
LMVWWDU9,Exclude,E2
LPZTKZUU,Include,
LR7BG7ET,Exclude,E1
M27C2PDQ,Include,
M9CW2CQI,Exclude,E7
MA95VWAA,Include,
MAIWMJBD,Exclude,E7
MDZZWX6Z,Exclude,E1
MHVQX4VY,Exclude,E7
MJ3YDRLB,Exclude,E1
MYIIFHLQ,Exclude,E5
MYWW5B3B,Exclude,E1
MZYE4BCX,Exclude,E1
N5JPVDCW,Exclude,E7
N7NK9WKJ,Exclude,E7
N9W36BET,Exclude,E2
NA7FRTMW,Exclude,E2
NH5DB6CT,Exclude,E2
NU9MU4PM,Include,
NXGU8WAK,Exclude,E2
P7QY6FND,Exclude,E7
P94R7L9S,Exclude,E7
PI6IYEED,Exclude,E1
PILG5GYI,Exclude,E1
PJEXMRHW,Include,
PJJYGTBR,Exclude,E1
PRGFIX2A,Exclude,E1
Q4V348RR,Exclude,E1
QQN955LQ,Exclude,E7
QTKYUQA3,Exclude,E7
R2QC5BMH,Exclude,E1
R3HC242G,Exclude,E1
R7SLMYIG,Include,
RDBICWGI,Exclude,E1
RJI9BVMU,Exclude,E6
RKBB48DT,Exclude,E1
RPNAEWC3,Include,
RTRRZSFI,Exclude,E7
SXKXTPBC,Exclude,E1
T79JZHSB,Exclude,E1
TI48389H,Include,
TM5GTP2T,Include,
TN69IPZ6,Exclude,E1
TZWPMNGH,Exclude,E1
U3CMMRYY,Exclude,E1
U54F8N28,Include,
U6BGIA47,Exclude,E1
UGKL7A4Q,Exclude,E7
UMICHQHF,Exclude,E7
UQ29B7T3,Exclude,E5
USLX6Y7H,Exclude,E7
UTPD6JC4,Exclude,E7
UUDGZFKK,Exclude,E7
UUJFYUCH,Include,
V7MYRPNU,Exclude,E7
VDDW57X2,Exclude,E1
VFC4M3RQ,Exclude,E7
VQNKFKR9,Include,
VZXP36H5,Include,
W2DSB55E,Exclude,E5
W6RB9442,Exclude,E1
WAJHJ252,Exclude,E7
WC2GENEF,Exclude,E7
WD6IQLSK,Exclude,E1
WEFFNLRY,Exclude,E7
WG6WBJAK,Exclude,E1
WKPU9F2B,Exclude,E1
WNLTKEP3,Exclude,E6
WTSTHJQ2,Exclude,E6
WX43W2V8,Exclude,E2
XAN9C7PT,Exclude,E7
XDKYNM6F,Exclude,E5
XF35CLEN,Exclude,E2
XIWUIVZR,Exclude,E2
XL6EUN6L,Include,
XWDVIR5F,Exclude,E5
Y63S9VCG,Exclude,E7
YATU4QZ6,Exclude,E7
YDYPWJTV,Exclude,E7
YI5K5659,Exclude,E1
YPQGBXHK,Exclude,E7
YVZLDAT4,Exclude,E2
YWCAIESA,Exclude,E2
ZMZWSALZ,Exclude,E1
ZNREV9GJ,Exclude,E6
ZX26M4YI,Exclude,E7
