item_key,aggregator_type,num_participants,business_relationship,incentive_mechanism,deployment_context,tags
3KAIZA5P,Network Administrative Organization,,Collaborative cause,No incentive,Productive Industrial Environment,A3;B1;C2;D2
5PM58E4D,Self-Governed Network,,Collaborative cause,No incentive,Academic Lab Experiment,A2;B1;C2;D1
AHUQHV3E,Network Administrative Organization,,Collaborative cause,No incentive,Productive Industrial Environment,A3;B1;C2;D2
BE5PD4YB,Not specified,,Collaborative cause,Not specified,Productive Industrial Environment,A0;B1;C0;D2
BHJVPDKD,Network Administrative Organization,,Neutral,Not specified,Academic Lab Experiment,A3;B2;C0;D1
BWREZ4WI,Network Administrative Organization,,Collaborative cause,Not specified,Productive Industrial Environment,A3;B1;C0;D2
C8ZQU83G,Network Administrative Organization,,Collaborative cause,Not specified,Productive Industrial Environment,A3;B1;C0;D2
CEJQW4KS,Not specified,,Competitor,Not specified,Productive Industrial Environment,A0;B3;C0;D2
CV74KDA4,Not specified,,Not specified,Not specified,Academic Lab Experiment,A0;B0;C0;D1
CVRDIMI9,Network Administrative Organization,,Collaborative cause,No incentive,Academic Lab Experiment,A3;B1;C2;D1
CXE3SFJA,Not specified,,Not specified,Not specified,Academic Lab Experiment,A0;B0;C0;D1
E3NTV2BH,Not specified,,Not specified,Not specified,Productive Industrial Environment,A0;B0;C0;D2
F4JTSMSZ,Network Administrative Organization,,Not specified,Not specified,Academic Lab Experiment,A3;B0;C0;D1
FIF9H8JX,Not specified,,Not specified,Not specified,Academic Lab Experiment,A0;B0;C0;D1
FK6W54PZ,Not specified,,Competitor,Not specified,Academic Lab Experiment,A0;B3;C0;D1
GSWJFGTG,Network Administrative Organization,,Not specified,Not specified,Academic Lab Experiment,A3;B0;C0;D1
GTQ8F2VZ,Network Administrative Organization,,Collaborative cause,Not specified,Productive Industrial Environment,A3;B1;C0;D2
H956N2FH,Network Administrative Organization,,Competitor,Not specified,Academic Lab Experiment,A3;B3;C0;D1
HV5QDV83,Network Administrative Organization,,Not specified,Not specified,Academic Lab Experiment,A3;B0;C0;D1
IQ8TQEZL,Network Administrative Organization,,Competitor,Not specified,Academic Lab Experiment,A3;B3;C0;D1
JYX5HVNE,Network Administrative Organization,,Not specified,Not specified,Academic Lab Experiment,A3;B0;C0;D1
L3EWHFA2,Network Administrative Organization,,Not specified,Not specified,Academic Lab Experiment,A3;B0;C0;D1
LAES66EL,Network Administrative Organization,,Collaborative cause,Not specified,Academic Lab Experiment,A3;B1;C0;D1
LEASQ8FC,Network Administrative Organization,,Not specified,Not specified,Productive Industrial Environment,A3;B0;C0;D2
LPZTKZUU,Not specified,,Not specified,Not specified,Academic Lab Experiment,A0;B0;C0;D1
M27C2PDQ,Network Administrative Organization,,Not specified,Not specified,Academic Lab Experiment,A3;B0;C0;D1
MA95VWAA,Self-Governed Network,,Neutral,Compensation,Academic Lab Experiment,A2;B2;C1;D1
NU9MU4PM,Not specified,,Not specified,Not specified,Academic Lab Experiment,A0;B0;C0;D1
PJEXMRHW,Not specified,,Collaborative cause,No incentive,Productive Industrial Environment,A0;B1;C2;D2
R7SLMYIG,Network Administrative Organization,,Not specified,Not specified,Academic Lab Experiment,A3;B0;C0;D1
RPNAEWC3,Network Administrative Organization,,Not specified,Not specified,Academic Lab Experiment,A3;B0;C0;D1
TI48389H,Network Administrative Organization,,Not specified,Not specified,Academic Lab Experiment,A3;B0;C0;D1
TM5GTP2T,Network Administrative Organization,,Neutral,Not specified,Productive Industrial Environment,A3;B2;C0;D2
U54F8N28,Network Administrative Organization,,Competitor,Not specified,Academic Lab Experiment,A3;B3;C0;D1
UUJFYUCH,Not specified,,Collaborative cause,Not specified,Academic Lab Experiment,A0;B1;C0;D1
VQNKFKR9,Network Administrative Organization,,Collaborative cause,No incentive,Academic Lab Experiment,A3;B1;C2;D1
VZXP36H5,Network Administrative Organization,,Not specified,Not specified,Academic Lab Experiment,A3;B0;C0;D1
XL6EUN6L,Network Administrative Organization,,Not specified,Not specified,Academic Lab Experiment,A3;B0;C0;D1
