id,decision,decision__agree_n,confidence,confidence__agree_n,exclusion_criterion,exclusion_criterion__agree_n,n_models,unanimous,decision__qwen2.5-14b,decision__llama3.1-8b,decision__ministral-3-14b,exclusion_criterion__qwen2.5-14b,exclusion_criterion__llama3.1-8b,exclusion_criterion__ministral-3-14b,confidence__qwen2.5-14b,confidence__llama3.1-8b,confidence__ministral-3-14b
226ZBILB,Exclude,3,93,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,100,80,100
23DV84I5,Include,2,90,3,,0,3,False,Include,Exclude,Include,,E2,,95,80,95
23HY5X6N,Exclude,3,100,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,100,100,100
23VN6EMY,Exclude,3,92,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,95,80,100
24DNM3JB,Exclude,3,98,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,95,100,100
24GLW4ND,Exclude,3,92,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,95,80,100
24V2YD2Y,Exclude,3,90,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,95,80,95
264GPP7U,Exclude,3,100,3,E5,2,3,True,Exclude,Exclude,Exclude,E5,E2,E5,100,100,100
28RKEIJJ,Exclude,3,100,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,100,100,100
29J3VEGY,Exclude,3,100,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,100,100,100
29M56G7W,Include,3,92,3,,0,3,True,Include,Include,Include,,,,98,80,98
2A8P6RWQ,Include,3,92,3,,0,3,True,Include,Include,Include,,,,100,80,95
2AIMXDPZ,Exclude,3,100,3,E5,3,3,True,Exclude,Exclude,Exclude,E5,E5,E5,100,100,100
2BLRRD82,Exclude,3,100,3,E5,3,3,True,Exclude,Exclude,Exclude,E5,E5,E5,100,100,100
2BQ7RUER,Exclude,3,100,3,E5,2,3,True,Exclude,Exclude,Exclude,E5,E2,E5,100,100,100
2CFTQT87,Include,2,95,3,,0,3,False,Include,Include,Exclude,,,E2,85,100,100
2DB3E8G7,Exclude,3,98,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,95,100,100
2GAC7ET4,Exclude,3,97,3,E5,2,3,True,Exclude,Exclude,Exclude,E5,E2,E5,90,100,100
2GCYNV6C,Exclude,3,92,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,95,80,100
2HD3ZH2M,Exclude,3,100,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,100,100,100
2HPY7AB9,Exclude,3,98,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,95,100,100
2HQWFCWQ,Include,3,87,3,,0,3,True,Include,Include,Include,,,,85,80,95
2K222BF2,Exclude,3,100,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,100,100,100
2KH8ADQR,Exclude,3,100,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,100,100,100
2KVEST95,Exclude,3,98,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,95,100,100
2L7F52DC,Exclude,3,92,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,80,100,95
2MA9B8KT,Exclude,2,87,3,E2,2,3,False,Include,Exclude,Exclude,,E2,E2,90,80,90
2MH2XYMV,Exclude,3,87,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,85,80,95
2MSM8GRC,Include,2,87,3,,0,3,False,Include,Exclude,Include,,E2,,85,80,95
2MTPHRVL,Exclude,3,97,3,E5,3,3,True,Exclude,Exclude,Exclude,E5,E5,E5,90,100,100
2NKN9IEA,Exclude,3,100,3,E2,3,3,True,Exclude,Exclude,Exclude,E2,E2,E2,100,100,100
