id,decision,exclusion_criterion,confidence,reasoning
226ZBILB,Exclude,E2,80,The abstract discusses federated learning application outside manufacturing (healthcare/smart grids) without mentioning transferable models to manufacturing.
23DV84I5,Exclude,E2,80,"The abstract discusses FL application in a chemical gas industrial environment, which is outside manufacturing unless they explicitly discuss transferable models to manufacturing"
23HY5X6N,Exclude,E2,100,"The abstract discusses a federated learning application in FSiOT networks, which is outside manufacturing."
23VN6EMY,Exclude,E2,80,"The abstract explicitly states that the application is in healthcare (IoT devices) unless they discuss transferable models to manufacturing, but there is no mention of such discussion."
24DNM3JB,Exclude,E2,100,"The abstract discusses a security framework for cloud environments, which is outside the manufacturing industry."
24GLW4ND,Exclude,E2,80,"The abstract discusses a digital supply chain twin framework for disruption detection, which is outside the manufacturing domain."
24V2YD2Y,Exclude,E2,80,"The abstract discusses a cybersecurity system, which is outside the manufacturing domain."
264GPP7U,Exclude,E2,100,"The abstract discusses DNA cryptography and its applications in cloud computing, IoT, and DNA computing environments, which is outside the manufacturing industry."
28RKEIJJ,Exclude,E2,100,"The abstract discusses ESG factors on industrial value extension, which is outside the manufacturing domain."
29J3VEGY,Exclude,E2,100,The abstract explicitly discusses a federated learning application in the healthcare industry.
29M56G7W,Include,,80,"The abstract discusses a federated learning approach tailored to industrial scenarios with heterogeneous AI models and imbalanced data, which is relevant to the review scope."
2A8P6RWQ,Include,,80,"The abstract discusses federated learning in manufacturing, which matches the review scope."
2AIMXDPZ,Exclude,E5,100,The abstract describes a literature review/survey without own contribution
2BLRRD82,Exclude,E5,100,The abstract describes a literature review/survey without own contribution
2BQ7RUER,Exclude,E2,100,"The abstract discusses the application of blockchain-fog computing integration in IoT applications, which is outside manufacturing unless they explicitly discuss transferable models to manufacturing."
2CFTQT87,Include,,100,"The abstract discusses a federated learning application in the semiconductor manufacturing domain, which is relevant to the review scope."
2DB3E8G7,Exclude,E2,100,"The abstract discusses a review of advances in sweat-based biochemical and physiological biomarkers for noninvasive diabetes monitoring, which is outside the manufacturing industry."
2GAC7ET4,Exclude,E2,100,The abstract discusses IoT security solutions outside manufacturing unless discussing transferable models to manufacturing.
2GCYNV6C,Exclude,E2,80,"The abstract discusses federated test case data generation for software testing, which is outside the manufacturing domain."
2HD3ZH2M,Exclude,E2,100,"The abstract explicitly states that the application is in healthcare, not manufacturing."
2HPY7AB9,Exclude,E2,100,"The abstract is about hydropower systems and control strategies, not manufacturing."
2HQWFCWQ,Include,,80,"The abstract discusses a personalized FL methodology for green IIoT systems, which is relevant to manufacturing."
2K222BF2,Exclude,E2,100,"The abstract discusses a federated learning application in sports training (swimming), which is outside the manufacturing industry."
2KH8ADQR,Exclude,E2,100,"The abstract discusses a security-related application of deep learning in smart devices, which is outside manufacturing unless they explicitly discuss transferable models to manufacturing."
2KVEST95,Exclude,E2,100,"The abstract discusses AI applications in smart cities, which is outside manufacturing unless they explicitly discuss transferable models to manufacturing."
2L7F52DC,Exclude,E2,100,"The abstract discusses mobile edge computing in IoT scenarios, which is outside manufacturing unless they explicitly discuss transferable models to manufacturing."
2MA9B8KT,Exclude,E2,80,"The abstract mentions an application of federated learning in enterprise data management, which is outside manufacturing unless they explicitly discuss transferable models to manufacturing."
2MH2XYMV,Exclude,E2,80,"The abstract discusses the application of a neural network in a non-manufacturing context (human cyber physical networks), but does not explicitly discuss transferable models to manufacturing."
2MSM8GRC,Exclude,E2,80,"The abstract discusses a framework for integrating outcome economy with smart industry in manufacturing, but it does not explicitly discuss transferable models to manufacturing."
2MTPHRVL,Exclude,E5,100,The abstract describes a literature review/survey without own contribution
2NKN9IEA,Exclude,E2,100,"The abstract is about a deep learning-based intrusion detection framework for IoT environments, which is outside the manufacturing domain."
2NWKUL9L,Exclude,E2,100,"The abstract explicitly states that the application is outside manufacturing (network security), but mentions transferable models to manufacturing."
2PHY5J39,Include,,80,"The abstract discusses federated learning in the context of smart manufacturing, addressing a challenge relevant to our review scope."
2T49YMK6,Exclude,E2,80,"The abstract discusses a Knowledge Distillation framework in IoT systems, which is outside the manufacturing domain."
2THEEY5F,Exclude,E2,80,"The abstract discusses federated learning in a closed-loop supply chain context, which is outside manufacturing unless they explicitly discuss transferable models to manufacturing."
2TX8U9DR,Exclude,E2,100,"The abstract discusses the application of federated learning in wireless telecommunications networks, which is outside manufacturing."
2VJLTSZ3,Exclude,E2,80,"The abstract discusses a model for handling concept drift in data streams, but does not mention manufacturing or any transferable models to the field."
2WRYVG65,Exclude,E2,100,"The abstract discusses the sixth-generation (6G) mobile network and its features, which is outside of manufacturing."
2X2PAS8V,Exclude,E2,100,"The abstract discusses AI of things in general, not specifically federated learning in manufacturing."
2X9JMHT4,Exclude,E2,80,"The abstract discusses a federated learning application outside manufacturing (healthcare), specifically in water treatment facilities."
2XJ7KU9A,Exclude,E2,80,"The abstract discusses a model for assessing intelligent manufacturing systems, but it does not mention federated learning or its application in manufacturing."
2XJUL2WR,Exclude,E2,100,"The abstract discusses anomaly detection and dropout rate estimation in 6G communication networks, which is outside the manufacturing industry."
2XKF3RWQ,Exclude,E2,80,The abstract discusses federated learning in IoT applications outside manufacturing.
2Y55ZF6B,Exclude,E2,100,"The abstract discusses IIoT security solutions, not federated learning in manufacturing."
32W3PSU3,Exclude,E2,100,"The abstract discusses wireless communication networks and their future developments, which is outside the scope of manufacturing."
32WN6AM2,Exclude,E2,100,"The abstract discusses federated learning in aquaculture, which is outside the manufacturing industry."
34Z6ZW3P,Include,,80,"The abstract discusses federated learning in manufacturing, specifically introducing a benchmark for VFL focused on smart manufacturing."
357F638V,Exclude,E2,80,"The abstract discusses an application of federated learning outside manufacturing (anomaly detection in industrial systems), unless the transferable models to manufacturing are explicitly discussed."
36MI3LMS,Exclude,E2,80,"The abstract mentions application of federated learning to construction safety, which is outside the manufacturing industry."
37CMCIVF,Exclude,E2,80,"The abstract discusses federated deep reinforcement learning in metropolitan edge-to-cloud networks, which is outside the manufacturing industry."
37H9BF86,Exclude,E2,80,"The abstract discusses federated learning in vehicular ad hoc networks (VANETs), industrial IoT (IIoT), and autonomous systems, which are outside the manufacturing industry."
39JIYCGS,Exclude,E5,100,The abstract describes a literature review/survey without own contribution
3AEYU2LJ,Exclude,E2,100,"The abstract discusses European data space architectures for secure and efficient data sharing in the digital economy, which is outside of manufacturing."
3B4C2K2C,Exclude,E2,80,"The abstract discusses applications of Smart Digital Twins outside manufacturing (medicine, engineering, education), but does not explicitly discuss transferable models to manufacturing."
3B4N2A6I,Exclude,E2,100,"The abstract discusses AI in manufacturing, but it is focused on Human-Robot Interaction (HRI) and does not mention federated learning or transferable models to manufacturing."
3D763AVG,Exclude,E2,100,"The abstract discusses a federated learning application in the context of cybersecurity, which is outside manufacturing."
3ER8TQF6,Exclude,E2,80,"The abstract discusses a data recovery algorithm for sensor data, which is not directly related to federated learning in manufacturing."
3GFG46MS,Exclude,E2,80,"The abstract discusses FL application outside manufacturing (healthcare, finance, etc.)"
3J4WCN7B,Exclude,E2,100,"The abstract discusses Wireless Sensor Networks (WSNs) in military and civilian scenarios, which is outside the manufacturing industry."
3J7Z78H2,Exclude,E2,100,"The abstract discusses the evolution of industrial manipulators in manufacturing, but it is a literature review/survey without own contribution"
3JBJKKI9,Exclude,E2,100,"The abstract discusses the application of HCs and blockchain technology to IoT ecosystems, which is outside manufacturing unless they explicitly discuss transferable models to manufacturing."
3JNBH44M,Exclude,E2,80,"The abstract discusses a Federated Machine Learning application in the Industrial Internet of Things (IIoT), which is outside manufacturing unless they explicitly discuss transferable models to manufacturing."
3JQ83E28,Exclude,E2,100,"The abstract discusses the application of agentic Artificial Intelligence to various domains, but does not explicitly mention manufacturing or transferable models to manufacturing."
3KAIZA5P,Include,,80,"The abstract discusses a real industrial application of federated learning in fault diagnosis, which is relevant to manufacturing."
3KFSY2GU,Exclude,E2,100,"The abstract discusses federated learning in the context of IIoT, but it is not a manufacturing industry application."
3L2Q2PAL,Exclude,E2,100,"The abstract discusses Federated Reinforcement Learning (FRL) in transportation and robotics, which is outside the manufacturing domain."
3MIXZYQX,Exclude,E2,80,"The abstract discusses the application of adaptive learning paths in industrial production, which is outside the manufacturing domain."
3MKWPQ9A,Exclude,E2,100,"The abstract discusses applications of big data in healthcare, not manufacturing."
3N52CEQW,Exclude,E2,100,"The abstract discusses the integration of UGVs and UAVs in autonomous system coordination, which is outside manufacturing."
3NA4HRIP,Exclude,E2,100,"The abstract discusses blockchain technology for unmanned aerial vehicle (UAV) swarms in a military context, which is outside the manufacturing industry."
3NQATZ2K,Exclude,E2,100,"The abstract discusses a literature review/survey on electrical machines in the context of renewable energy, which is outside the manufacturing domain."
3NR3BL4V,Exclude,E2,100,The abstract explicitly discusses FL application in healthcare (Healthcare 5.0 paradigm) rather than manufacturing.
3QCJW2ZN,Exclude,E2,100,"The abstract discusses an application of federated learning outside manufacturing (in-vehicle buses and cloud environments), which matches exclusion criterion E2."
3R5Q3CEG,Exclude,E2,100,"The abstract discusses Human-Robot Collaboration in industrial and service systems, which is outside the manufacturing scope of the review."
3SEVF3Q5,Exclude,E2,80,"The abstract discusses AI-driven approaches in the context of electric vehicle batteries, which is outside manufacturing unless they explicitly discuss transferable models to manufacturing"
3T28EMM5,Exclude,E2,80,"The abstract explicitly states that the application is in healthcare, which falls under E2."
3V495KCY,Exclude,E2,100,"The abstract discusses Industry 5.0, which is outside manufacturing unless they explicitly discuss transferable models to manufacturing."
3VTVX7KT,Exclude,E5,100,The abstract describes a literature review/survey without own contribution
3XX42HSH,Exclude,E2,100,"The abstract discusses blockchain technology in the garment industry, which is outside manufacturing unless they explicitly discuss transferable models to manufacturing."
3ZNZI24I,Exclude,E2,80,"The abstract discusses a deep learning-based approach to enhance security in Cyber-Physical Systems (CPS) for Industry 5.0 applications, which is outside the manufacturing domain."
44ISBVAT,Exclude,E2,100,"The abstract discusses federated learning in IoT environments for cybersecurity, which is outside manufacturing unless they explicitly discuss transferable models to manufacturing."
44N786HD,Exclude,E2,100,"The abstract discusses a federated trust management system for 5G networks, which is outside the manufacturing industry."
45B77XVJ,Exclude,E2,100,"The abstract discusses an intrusion detection system in cybersecurity, which is outside the manufacturing industry."
48GIQUWN,Exclude,E2,100,The abstract discusses IoT network security and does not mention manufacturing.
48UIHVFJ,Exclude,E2,80,"The abstract mentions application scenarios such as industrial IoT, which is outside the manufacturing domain unless they explicitly discuss transferable models to manufacturing."
48ZYDTJZ,Exclude,E2,100,"The abstract discusses a method for anomaly detection in server performance, which is outside the manufacturing domain."
4B7YECQB,Exclude,E2,80,"The abstract discusses a cyber-physical system in logistics, which is outside the manufacturing domain."
4BAKJUXV,Exclude,E2,100,"The abstract is about airports and cyberattacks, which is outside the manufacturing industry."
4BWNRBJM,Exclude,E2,80,The abstract discusses federated learning application outside manufacturing (IoT systems) without mentioning transferable models to manufacturing.
4BZ8BBQE,Exclude,E2,100,"The abstract discusses a cybersecurity framework for IoT security in smart cities, which is outside the manufacturing domain."
4EY4QWCA,Exclude,E2,100,"The abstract is about cybersecurity solutions in machine learning, not manufacturing."
4FBSG7NP,Exclude,E2,80,The abstract discusses federated learning in IoT applications outside manufacturing.
4FPGZMH3,Exclude,E2,80,"The abstract discusses a literature review on edge- and cloud-based collaborative learning frameworks for predictive maintenance and smart manufacturing tasks, but it does not explicitly discuss transferable models to manufacturing."
4GDX64AJ,Exclude,E2,80,"The abstract mentions anomaly detection in smart manufacturing, but the focus is on edge computing and data privacy rather than federated learning in a traditional manufacturing context."
4J4EEP2K,Exclude,E2,100,"The abstract discusses a framework for intelligent resource management in 6G wireless networks, which is outside the manufacturing industry."
4KLE3W56,Exclude,E2,80,"The abstract discusses a framework for inter-organizational knowledge flow and agent collaborative decision-making in complex environments, which is outside the manufacturing domain."
4KRI39WG,Exclude,E2,100,"The abstract discusses AI and communication for 6G networks, which is outside the manufacturing industry."
4LEPAMPV,Exclude,E2,100,"The abstract discusses Federated Learning in the context of e-learning platforms, which is outside manufacturing unless they explicitly discuss transferable models to manufacturing."
4LFGAPQC,Exclude,E2,80,"The abstract discusses federated learning in the context of telecom analytics solutions, which is outside manufacturing unless they explicitly discuss transferable models to manufacturing."
4M5ZGUJ4,Exclude,E2,80,"The abstract discusses a federated learning application outside manufacturing (smart homes), but does not explicitly discuss transferable models to manufacturing."
4M9K568Y,Exclude,E2,100,"The abstract discusses cybersecurity threats in high-speed trains, which is outside the manufacturing industry."
4MDJGQEP,Exclude,E2,100,"The abstract is about malware detection in Android-based IoT devices, which falls outside the manufacturing industry."
4NKRHVZL,Exclude,E2,100,"The abstract discusses localization in Wireless Sensor Networks for applications outside manufacturing (healthcare, environmental monitoring, etc.), which does not match the review scope."
4NS62PG3,Exclude,E2,80,"The abstract discusses an application of federated learning in manufacturing, but the focus is on AGV scheduling rather than FL itself."
4QGK3K5L,Include,,90,"The abstract discusses a federated learning method in a multi-center scenario, addressing data heterogeneity and privacy protection, which is relevant to manufacturing industries."
4S5W5KAH,Exclude,E2,80,The abstract mentions healthcare as an example of a sensitive data-driven industrial scenario where federated learning is applied.
4T5I4QMZ,Exclude,E2,100,"The abstract itself provides clear evidence that the application is outside manufacturing (healthcare/transportation), unless they explicitly discuss transferable models to manufacturing which is not the case here."
4T9G6G2T,Exclude,E2,80,"The abstract discusses a method for evaluating cloud manufacturing services, which is outside the scope of federated learning in manufacturing."
4UGBIT8Z,Exclude,E2,100,"The abstract discusses edge computing in the context of sixth-generation wireless communication, which is outside the manufacturing industry."
4WPZLQL4,Exclude,E2,100,"The abstract itself provides clear evidence for E2: FL application outside manufacturing (healthcare, finance, etc.) unless they explicitly discuss transferable models to manufacturing"
4X4PPHD4,Include,,100,The paper explicitly discusses a transferable model to manufacturing.
52GHRF9H,Include,,50,"The abstract discusses federated learning in an industrial environment, which is relevant to the review scope."
53NFSG9J,Exclude,E2,80,"The abstract discusses a federated edge intelligence framework for IoT networks in smart environments, which is outside the manufacturing industry."
