id,decision,exclusion_criterion,confidence,reasoning
226ZBILB,Exclude,E2,100,"The abstract explicitly focuses on electricity demand forecasting for smart grids, which is outside the manufacturing domain."
23DV84I5,Include,,95,The abstract explicitly discusses a federated learning application in a manufacturing context (chemical gas industrial environment).
23HY5X6N,Exclude,E2,100,The abstract explicitly focuses on a smart-city IoT application (SmartSantander dataset) without any mention of manufacturing or transferable models to it.
23VN6EMY,Exclude,E2,100,"The abstract focuses on federated learning for cybersecurity in IoT environments, which is outside the manufacturing domain."
24DNM3JB,Exclude,E2,100,"The abstract focuses on cloud security threats and a deep learning framework for real-time threat detection in cloud environments, with no mention of manufacturing or federated learning applications."
24GLW4ND,Exclude,E2,100,The abstract focuses on digital supply chain twins using deep learning for disruption detection and prediction but does not mention federated learning (FL) or its application in manufacturing.
24V2YD2Y,Exclude,E2,95,"The abstract focuses on cybersecurity in network streams using a neural network framework, with no mention of manufacturing or federated learning."
264GPP7U,Exclude,E5,100,The abstract explicitly describes a systematic literature review without any original contribution or application in federated learning for manufacturing.
28RKEIJJ,Exclude,E2,100,The abstract focuses on industrial value chains using DGNNs to model ESG shocks and does not mention federated learning (FL) or manufacturing-specific FL implementations.
29J3VEGY,Exclude,E2,100,"The abstract explicitly focuses on federated learning applications in healthcare (medical imaging and remote patient monitoring), with no mention of manufacturing or transferable models to that domain."
29M56G7W,Include,,98,"The abstract explicitly focuses on federated learning in an Industrial Internet of Things (IIoT) context within manufacturing (Industry 5.0), addressing real-world challenges like energy efficiency and data imbalance in production processes."
2A8P6RWQ,Include,,95,The abstract explicitly describes a federated learning application in manufacturing with sensor data for machine condition monitoring.
2AIMXDPZ,Exclude,E5,100,The abstract explicitly states it is a survey without original contributions or applied implementations of federated learning.
2BLRRD82,Exclude,E5,100,The abstract explicitly describes a systematic review/survey without presenting original contributions or applied implementations.
2BQ7RUER,Exclude,E5,100,The abstract explicitly states it is a systematic literature review without original contributions or applied implementations of federated learning in manufacturing.
2CFTQT87,Exclude,E2,100,"The abstract explicitly focuses on semiconductor manufacturing (IC design and lithography), which is outside the scope of general manufacturing industries as defined in the review."
2DB3E8G7,Exclude,E2,100,"The abstract focuses entirely on diabetes monitoring using sweat-based biomarkers and wearable biosensors, with no mention of manufacturing or federated learning applications."
2GAC7ET4,Exclude,E5,100,The abstract explicitly states it is a multidisciplinary survey paper without original contributions or applied implementations.
2GCYNV6C,Exclude,E2,100,"The abstract focuses on federated learning for software testing and privacy-preserving data generation across heterogeneous organizational environments, which is outside the manufacturing domain."
2HD3ZH2M,Exclude,E2,100,"The abstract explicitly focuses on healthcare applications (e.g., health monitoring, blood pressure, SpO₂) without any mention of manufacturing or transferable models to manufacturing."
2HPY7AB9,Exclude,E2,100,"The abstract focuses on hydropower systems, which is outside the manufacturing domain."
2HQWFCWQ,Include,,95,"The abstract explicitly focuses on federated learning in industrial IoT (IIoT) domains, which is a subset of manufacturing."
2K222BF2,Exclude,E2,100,"The abstract explicitly focuses on swimming training, which is outside the manufacturing domain."
2KH8ADQR,Exclude,E2,100,"The abstract focuses on cybersecurity and threat detection in smart devices using AI/ML models, with no mention of federated learning or manufacturing applications."
2KVEST95,Exclude,E2,100,"The abstract explicitly focuses on smart cities and urban sustainability, with no mention of manufacturing or transferable models to that domain."
2L7F52DC,Exclude,E2,95,"The abstract focuses on IoT scenarios involving power IoT and edge caching strategies for network optimization, with no mention of federated learning or manufacturing applications."
2MA9B8KT,Exclude,E2,90,"The abstract explicitly mentions simulations using the Secure Water Treatment (SWaT) dataset, which is unrelated to manufacturing industries."
2MH2XYMV,Exclude,E2,95,"The abstract focuses on human-machine collaborative tasks in human cyber-physical networks (general societal/cognitive contexts) and does not mention manufacturing, industrial settings, or federated learning implementations specific to manufacturing industries."
2MSM8GRC,Include,,95,"The abstract discusses federated learning as part of a broader framework for smart manufacturing in the automotive domain, which falls within the scope of manufacturing industries."
2MTPHRVL,Exclude,E5,100,The abstract explicitly states it is a survey/literature review without original contributions or applied implementations.
2NKN9IEA,Exclude,E2,100,"The abstract focuses on cybersecurity and intrusion detection in IoT environments, which is outside the scope of manufacturing applications."
2NWKUL9L,Exclude,E2,100,"The abstract explicitly focuses on network security and intrusion detection using federated learning among Internet Service Providers (ISPs), which is outside the manufacturing domain."
2PHY5J39,Include,,95,The abstract explicitly focuses on federated learning in smart manufacturing with industrial data silos and IIoT applications.
2T49YMK6,Exclude,E2,95,The abstract focuses on IoT applications in general (not manufacturing) and discusses knowledge distillation for on-device training without explicit mention of federated learning or its application in manufacturing industries.
2THEEY5F,Include,,95,"The abstract explicitly discusses federated learning in a manufacturing context (closed-loop supply chain with manufacturer, retailer, and third-party interactions)."
2TX8U9DR,Exclude,E2,100,"The abstract focuses on AI/ML in wireless telecommunications (e.g., 6G networks) and applications like autonomous vehicles, telesurgery, industrial IoT, and smart cities, with no explicit mention of manufacturing or federated learning implementations specific to manufacturing industries."
2VJLTSZ3,Exclude,E2,100,The abstract focuses on general online regression and concept drift in data streams without any mention of manufacturing or federated learning.
2WRYVG65,Exclude,E2,100,"The abstract focuses on 6G mobile networks and network autonomy in telecommunications, with no mention of manufacturing or federated learning applications in that domain."
2X2PAS8V,Exclude,E2,95,"The abstract focuses on general AI at the edge (sensors, computing nodes) without explicit mention of federated learning or manufacturing applications."
2X9JMHT4,Exclude,E2,100,"The abstract explicitly focuses on cyber-physical attacks in water treatment facilities, which is outside the manufacturing domain."
2XJ7KU9A,Exclude,E2,100,The abstract focuses on decision-making models for intelligent manufacturing using fuzzy sets and multi-attributive analysis but does not mention federated learning (FL) or distributed model training.
2XJUL2WR,Exclude,E2,100,"The abstract focuses on anomaly detection and dropout rate estimation in 6G communication networks, with no mention of manufacturing or federated learning applications."
2XKF3RWQ,Include,,95,The abstract explicitly mentions 'industrial IoT' as a key application domain for the proposed federated learning framework.
2Y55ZF6B,Include,,90,"The abstract mentions federated learning explicitly in the context of IIoT/manufacturing privacy preservation, which aligns with the review scope."
32W3PSU3,Exclude,E2,100,"The abstract focuses entirely on 6G wireless communication networks and their enabling technologies, with no mention of federated learning (FL) or manufacturing applications."
32WN6AM2,Exclude,E2,100,"The abstract explicitly focuses on recirculating aquaculture systems (RAS) for fish production, which is outside the manufacturing domain."
34Z6ZW3P,Include,,98,The abstract explicitly focuses on federated learning (VFL) in smart manufacturing and introduces a benchmark for practical deployment within the sector.
357F638V,Exclude,E2,100,The abstract focuses on anomaly detection using a non-federated method (MLOF) in industrial contexts but does not mention federated learning or distributed model coordination.
36MI3LMS,Exclude,E2,100,"The abstract explicitly focuses on construction safety, which is outside the manufacturing domain."
37CMCIVF,Exclude,E2,100,"The abstract focuses on cybersecurity and attack detection in edge-to-cloud networks, with no mention of manufacturing or transferable models to manufacturing."
37H9BF86,Include,,95,The abstract explicitly mentions industrial IoT (IIoT) as an application domain for the proposed P2P FL algorithm.
39JIYCGS,Exclude,E5,100,"The abstract explicitly describes this as a survey paper reviewing Digital Twin technology and its integration with Machine Learning in Smart Cities, without any original implementation or contribution to federated learning in manufacturing."
